product_id,week,sku_sold,week_start
704,2019-03-25/2019-03-31,1,2019-03-25
704,2019-04-01/2019-04-07,1,2019-04-01
704,2019-04-08/2019-04-14,1,2019-04-08
704,2019-04-29/2019-05-05,1,2019-04-29
704,2019-05-06/2019-05-12,1,2019-05-06
704,2019-06-03/2019-06-09,1,2019-06-03
704,2019-07-08/2019-07-14,1,2019-07-08
704,2019-07-22/2019-07-28,1,2019-07-22
704,2019-09-02/2019-09-08,1,2019-09-02
704,2019-09-23/2019-09-29,1,2019-09-23
704,2019-10-07/2019-10-13,1,2019-10-07
704,2019-11-11/2019-11-17,1,2019-11-11
704,2019-12-16/2019-12-22,1,2019-12-16
704,2020-01-06/2020-01-12,1,2020-01-06
704,2020-01-27/2020-02-02,2,2020-01-27
704,2020-02-24/2020-03-01,1,2020-02-24
704,2020-03-23/2020-03-29,1,2020-03-23
704,2020-04-13/2020-04-19,1,2020-04-13
704,2020-04-27/2020-05-03,1,2020-04-27
704,2020-05-18/2020-05-24,1,2020-05-18
704,2020-05-25/2020-05-31,1,2020-05-25
704,2020-06-01/2020-06-07,1,2020-06-01
704,2020-06-22/2020-06-28,1,2020-06-22
704,2020-07-13/2020-07-19,1,2020-07-13
704,2020-08-03/2020-08-09,1,2020-08-03
704,2020-08-17/2020-08-23,1,2020-08-17
704,2020-09-07/2020-09-13,3,2020-09-07
704,2020-09-14/2020-09-20,3,2020-09-14
704,2020-09-28/2020-10-04,1,2020-09-28
704,2020-10-19/2020-10-25,1,2020-10-19
704,2020-10-26/2020-11-01,3,2020-10-26
704,2020-11-09/2020-11-15,0,2020-11-09
704,2020-11-30/2020-12-06,1,2020-11-30
704,2020-12-21/2020-12-27,4,2020-12-21
705,2020-11-16/2020-11-22,3,2020-11-16
706,2018-01-15/2018-01-21,3,2018-01-15
706,2018-04-02/2018-04-08,3,2018-04-02
706,2019-11-11/2019-11-17,2,2019-11-11
706,2020-08-24/2020-08-30,6,2020-08-24
707,2018-01-08/2018-01-14,18,2018-01-08
707,2018-02-19/2018-02-25,18,2018-02-19
707,2018-04-02/2018-04-08,18,2018-04-02
707,2018-04-16/2018-04-22,23,2018-04-16
707,2018-04-30/2018-05-06,18,2018-04-30
707,2018-09-10/2018-09-16,18,2018-09-10
707,2019-01-07/2019-01-13,23,2019-01-07
707,2019-02-25/2019-03-03,18,2019-02-25
